player_id,competition_id,season_id,passes_attempted,passes_completed,progressive_passes,passes_forward,passes_sideways,passes_backward,pass_length_total,key_passes,crosses,long_balls,pressures,pressure_successes,tackles,interceptions,aerial_duels,aerial_won,progressive_carries,carries_into_final_third,dribbles_attempted,dribbles_completed,shots,xg,box_touches
26249.0,11,39,17.0,11.0,5.0,13.0,4.0,0.0,392.617734,0,1,4.0,13.0,2,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.37267374400000003,6.0
26392.0,11,39,22.0,17.0,5.0,20.0,1.0,1.0,665.5790348,0,0,8.0,4.0,2,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
26416.0,11,39,11.0,8.0,4.0,9.0,0.0,2.0,297.656628,0,0,4.0,7.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26417.0,11,39,18.0,14.0,0.0,11.0,3.0,4.0,360.114465,0,0,4.0,19.0,5,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0
26418.0,11,39,30.0,22.0,9.0,25.0,4.0,1.0,735.6965722,0,0,7.0,21.0,4,4.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0
26419.0,11,39,24.0,16.0,4.0,15.0,5.0,4.0,461.5362543,0,3,5.0,14.0,1,3.0,1.0,1.0,0.0,4.0,1.0,4.0,2.0,0.0,0.0,1.0
26422.0,11,39,3.0,2.0,1.0,2.0,1.0,0.0,54.7846385,0,0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.35403988000000003,6.0
26423.0,11,39,8.0,6.0,1.0,2.0,2.0,4.0,125.219778,0,0,0.0,8.0,5,4.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.263419456,7.0
26424.0,11,39,7.0,6.0,0.0,3.0,2.0,2.0,112.5744693,0,0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
26425.0,11,39,7.0,6.0,1.0,4.0,2.0,1.0,120.370425,0,0,0.0,1.0,True,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.031179609,0.0
26426.0,11,39,15.0,10.0,3.0,8.0,5.0,2.0,262.8103219,0,2,0.0,7.0,2,4.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,0.11498305,2.0
26427.0,11,39,16.0,11.0,7.0,16.0,0.0,0.0,728.736136,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
26428.0,11,39,20.0,13.0,3.0,14.0,4.0,2.0,293.6270556,1,1,1.0,17.0,5,6.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,0.059267901,9.0
26429.0,11,39,32.0,21.0,4.0,21.0,6.0,5.0,509.4858089,0,1,4.0,13.0,0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.018826654,6.0
26430.0,11,39,13.0,7.0,2.0,8.0,2.0,3.0,236.0867465,0,2,2.0,22.0,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.09841644,1.0
26431.0,11,39,14.0,12.0,0.0,6.0,6.0,2.0,204.71090759999998,0,0,1.0,24.0,3,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
26441.0,11,39,11.0,7.0,6.0,9.0,1.0,1.0,259.080542,0,3,4.0,5.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
26442.0,11,39,2.0,1.0,1.0,1.0,0.0,1.0,35.498964,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26443.0,11,39,8.0,8.0,0.0,2.0,2.0,4.0,116.268502,2,0,0.0,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
26444.0,11,39,22.0,17.0,3.0,20.0,0.0,2.0,447.2876647,0,0,2.0,18.0,1,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
26445.0,11,39,31.0,25.0,9.0,24.0,4.0,3.0,755.761822,0,0,9.0,14.0,1,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0
26446.0,11,39,21.0,17.0,2.0,16.0,3.0,2.0,405.2497574,0,0,5.0,19.0,3,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
26447.0,11,39,36.0,28.0,6.0,24.0,9.0,3.0,830.4006899999999,0,0,9.0,29.0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06492079,2.0
26448.0,11,39,30.0,25.0,8.0,19.0,9.0,2.0,673.5058865999999,0,1,6.0,18.0,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26449.0,11,39,30.0,27.0,2.0,20.0,6.0,4.0,443.279905,0,0,0.0,45.0,5,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.046065885,7.0
26450.0,11,39,3.0,3.0,0.0,1.0,1.0,1.0,51.389662,0,0,0.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26451.0,11,39,16.0,14.0,1.0,11.0,2.0,3.0,343.23366300000004,0,0,4.0,6.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26452.0,11,39,27.0,12.0,20.0,27.0,0.0,0.0,1535.63529,0,0,24.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26453.0,11,39,22.0,12.0,6.0,22.0,0.0,0.0,529.0408882,0,0,4.0,5.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26454.0,11,39,42.0,31.0,5.0,28.0,8.0,6.0,675.5098982,0,0,4.0,30.0,6,4.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0
26455.0,11,39,25.0,18.0,6.0,15.0,4.0,6.0,530.0367197,0,0,4.0,23.0,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.09645968,2.0
26456.0,11,39,23.0,15.0,2.0,10.0,7.0,6.0,330.37195230000003,0,1,1.0,14.0,0,4.0,0.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,5.0
26463.0,11,39,8.0,5.0,2.0,8.0,0.0,0.0,254.7492105,0,1,4.0,5.0,1,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
26492.0,11,39,28.0,23.0,6.0,22.0,0.0,6.0,738.6600603,0,0,7.0,13.0,2,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26493.0,11,39,4.0,3.0,1.0,4.0,0.0,0.0,81.007001,0,0,0.0,3.0,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26499.0,11,39,6.0,5.0,3.0,3.0,0.0,3.0,76.45956,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.04274141,2.0
3052.0,11,40,42.0,23.0,15.0,33.0,8.0,1.0,1051.9062565,0,3,10.0,40.0,13,15.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.026172576,7.0
3064.0,11,40,93.0,77.0,13.0,60.0,19.0,14.0,1425.125335,4,1,4.0,54.0,13,9.0,2.0,3.0,0.0,5.0,5.0,2.0,1.0,1.0,0.02328239,9.0
3087.0,11,40,927.0,837.0,52.0,544.0,259.0,124.0,18256.2415229,5,2,107.0,212.0,52,60.0,12.0,18.0,0.0,8.0,27.0,36.0,31.0,15.0,0.49389339899999996,32.0
3095.0,11,40,32.0,22.0,9.0,17.0,7.0,8.0,780.3246575000001,1,3,8.0,16.0,3,6.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3150.0,11,40,26.0,18.0,3.0,15.0,3.0,8.0,399.0160395,1,2,2.0,19.0,6,5.0,1.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,9.0
3237.0,11,40,33.0,25.0,3.0,12.0,8.0,13.0,496.4813746,1,1,1.0,23.0,4,11.0,1.0,8.0,0.0,4.0,7.0,15.0,11.0,4.0,0.416322142,31.0
3294.0,11,40,52.0,43.0,5.0,19.0,17.0,16.0,931.2406065,1,2,6.0,24.0,3,1.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0
3486.0,11,40,6.0,3.0,0.0,4.0,1.0,1.0,100.309236,0,0,0.0,7.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11082756,4.0
3498.0,11,40,14.0,10.0,4.0,12.0,1.0,1.0,309.5758415,0,2,3.0,10.0,1,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.022856388,2.0
3957.0,11,40,31.0,22.0,8.0,24.0,5.0,2.0,611.1089215,2,3,5.0,26.0,4,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
4324.0,11,40,79.0,50.0,24.0,69.0,7.0,3.0,1707.1341872,0,5,13.0,42.0,5,9.0,2.0,1.0,0.0,6.0,6.0,3.0,1.0,3.0,0.0195528318,1.0
4409.0,11,40,63.0,53.0,9.0,45.0,8.0,10.0,984.7740554,3,0,5.0,20.0,4,3.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,3.0,0.149138312,6.0
4711.0,11,40,29.0,17.0,6.0,19.0,6.0,4.0,569.5066983,3,2,6.0,12.0,1,3.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,0.13796511,6.0
4913.0,11,40,273.0,205.0,39.0,126.0,80.0,67.0,4421.4358649,9,16,15.0,120.0,36,27.0,2.0,18.0,0.0,36.0,31.0,48.0,29.0,30.0,3.88298172,153.0
5201.0,11,40,31.0,25.0,2.0,20.0,5.0,6.0,608.2331264,0,1,4.0,11.0,4,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.012238277,8.0
5216.0,11,40,1306.0,1158.0,125.0,830.0,329.0,147.0,25770.7634603,19,10,182.0,293.0,80,52.0,10.0,17.0,0.0,58.0,61.0,90.0,66.0,23.0,1.694709518,85.0
5248.0,11,40,12.0,12.0,1.0,6.0,6.0,0.0,281.124105,0,0,2.0,8.0,1,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5497.0,11,40,15.0,12.0,4.0,6.0,3.0,6.0,317.19191,0,1,2.0,5.0,1,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.4762242,11.0
